generation,best,mean,std
0,0.5278761005076794,0.5087138406661174,0.057486779524686324
1,0.5278761005076794,0.5278761005076794,0.0
2,0.5278761005076794,0.5278761005076794,0.0
3,0.5278761005076794,0.5278761005076794,0.0
4,0.5278761005076794,0.5278761005076794,0.0
5,0.5278761005076794,0.521488680560492,0.034397309107982374
6,0.5278761005076794,0.521488680560492,0.03439730910798237
7,0.5278761005076794,0.521488680560492,0.034397309107982374
8,0.5278761005076794,0.5278761005076794,0.0
9,0.5278761005076794,0.5214886805604921,0.03439730910798234
10,0.5278761005076794,0.5278761005076794,0.0
11,0.5278761005076794,0.5214886805604921,0.034397309107982346
12,0.5278761005076794,0.5214886805604921,0.03439730910798234
13,0.5278761005076794,0.5214886805604921,0.03439730910798234
14,0.5278761005076794,0.5278761005076794,0.0
15,0.5278761005076794,0.5278761005076794,0.0
16,0.5278761005076794,0.5278761005076794,0.0
17,0.5278761005076794,0.5278761005076794,0.0
18,0.5278761005076794,0.521488680560492,0.03439730910798237
19,0.5278761005076794,0.5278761005076794,0.0
