generation,best,mean,std
0,0.5586973180076629,0.47562917965647117,0.061103152109076325
1,0.5586973180076629,0.525499005870652,0.05754897305595391
2,0.5586973180076629,0.5586973180076631,2.220446049250313e-16
3,0.5586973180076629,0.5506380587484038,0.030154986939333703
4,0.5586973180076629,0.5516472565371312,0.026378914578426064
5,0.5586973180076629,0.5516472565371312,0.026378914578426064
6,0.5586973180076629,0.5216644392194132,0.06460958714153153
7,0.5586973180076629,0.5513703691353117,0.027414932370748317
8,0.5586973180076629,0.5469460262206185,0.043969307719131094
9,0.5586973180076629,0.5456477739586632,0.0488269228849722
