generation,best,mean,std
0,0.5586973180076629,0.4349600074999973,0.05908405758168152
1,0.5586973180076629,0.5097023863360906,0.0718794422768265
2,0.5586973180076629,0.535199265115212,0.05998355588486198
3,0.5586973180076629,0.5471917553856943,0.04406101152350754
4,0.5586973180076629,0.5463230756228555,0.0463629944684372
5,0.5586973180076629,0.5586973180076632,3.3306690738754696e-16
6,0.5586973180076629,0.5586973180076632,3.3306690738754696e-16
7,0.5586973180076629,0.5490094855160418,0.036588325714140876
8,0.5586973180076629,0.5586973180076632,3.3306690738754696e-16
9,0.5586973180076629,0.5526866677387362,0.03236834229621955
10,0.5586973180076629,0.5330291138747899,0.06826075566960631
11,0.5586973180076629,0.5529529159735811,0.03093455167197021
12,0.5586973180076629,0.5549453681661309,0.02020486824475313
13,0.5586973180076629,0.5586973180076632,3.3306690738754696e-16
14,0.5586973180076629,0.5465929095035927,0.04531930896273173
15,0.5586973180076629,0.5525504978866684,0.033101639391367114
16,0.5586973180076629,0.5500515465649661,0.03236313602042971
17,0.5586973180076629,0.5527371303190315,0.03209659298473529
18,0.5586973180076629,0.554495640050497,0.02262672826584406
19,0.5586973180076629,0.5586973180076632,3.3306690738754696e-16
