generation,best,mean,std
0,0.5586973180076629,0.4116116452682549,0.08892235918301043
1,0.5586973180076629,0.47191002904048335,0.07406741519950485
2,0.5586973180076629,0.49607609839702993,0.06306684865220587
3,0.5586973180076629,0.49723447658544784,0.07642399628467814
4,0.5586973180076629,0.49867971558150154,0.07606364638417212
5,0.5586973180076629,0.4873238551208283,0.07347930348523635
6,0.5586973180076629,0.49822810241942167,0.07591678331506327
7,0.5586973180076629,0.5081874881906586,0.07722870266629817
