generation,best,mean,std
0,0.41505800512135876,0.38931873139677503,0.03845381254751659
1,0.4182222222222222,0.40531671125962465,0.00884578461321029
2,0.4206663659349081,0.40368637847700506,0.027600219625947567
3,0.4206663659349081,0.4112690531816036,0.009974996100229791
4,0.4222317870237526,0.4158856453756934,0.005040942242150187
5,0.45548142495013905,0.4220596360269998,0.010780966028195886
6,0.45548142495013905,0.4244570814777892,0.03144011961741588
7,0.46246544895468045,0.431688782012532,0.029669594655876753
8,0.46246544895468045,0.42222152006991115,0.11033183489125543
9,0.46246544895468045,0.40071876047062305,0.1519746947902819
