generation,best,mean,std
0,0.41693602693602694,0.3870992845964816,0.024287797234621794
1,0.4362623569316718,0.4113030537803079,0.0104099285017653
2,0.4362623569316718,0.41433760663910846,0.01968354823370892
3,0.4362623569316718,0.4218296532463971,0.012178948297112559
4,0.4362623569316718,0.4266708561292468,0.013357503597992709
5,0.4362623569316718,0.432876056578675,0.0109127729898777
6,0.4362623569316718,0.42820889107794774,0.0236274344667958
7,0.4362623569316718,0.43386692995490705,0.005855168149371705
8,0.4362623569316718,0.4355445467252894,0.0038655262616108426
9,0.4362623569316718,0.4287710254266368,0.02378020125122077
10,0.4423928324406054,0.43310540224327193,0.009859663980490955
11,0.4438112721569175,0.43148361142507136,0.018430980057129297
12,0.4438112721569175,0.43532351107167994,0.012065392753654121
13,0.4438112721569175,0.4336024445642909,0.024731061089071492
14,0.4438112721569175,0.43735636790885457,0.018309079385274162
15,0.4438112721569175,0.4417263753013587,0.008119725712820342
16,0.4438112721569175,0.43988984289965616,0.00954513001688896
17,0.4438112721569175,0.43693983694402594,0.0194657629660997
18,0.4438112721569175,0.4377868243075242,0.018997962693144146
19,0.4438112721569175,0.43684084055475847,0.018965463536476657
