generation,best,mean,std
0,0.40836449602407043,0.3647986527255175,0.0306428964509466
1,0.41583924349881796,0.37051574717387126,0.0415412399036536
2,0.4343111374194767,0.40190439176477594,0.017020122446883022
3,0.4343111374194767,0.37957403770476644,0.04725006321583179
4,0.4343111374194767,0.3916925467172684,0.03438048433663658
5,0.4343111374194767,0.40630136375477777,0.037756182866702834
6,0.4401070878574239,0.41355624786629475,0.020225362672996922
7,0.4401070878574239,0.3691185826915483,0.073469057985207
