generation,best,mean,std
0,0.5278761005076794,0.50232642071893,0.0651391579044404
1,0.5278761005076794,0.5151012606133047,0.04779907405564169
2,0.5278761005076794,0.5151012606133047,0.04779907405564169
3,0.5278761005076794,0.5278761005076794,0.0
4,0.5278761005076794,0.5278761005076794,0.0
5,0.5278761005076794,0.5278761005076794,0.0
6,0.5278761005076794,0.5278761005076794,0.0
7,0.5278761005076794,0.5278761005076794,0.0
8,0.5278761005076794,0.50232642071893,0.0651391579044404
9,0.5278761005076794,0.5278761005076794,0.0
